# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
13044.795200 0.679878 0.379273 0.583658 13044.814390
13048.986490 0.684307 0.382525 0.581613 13048.606620
13053.022030 0.684160 0.383240 0.579530 13052.655690
13057.111900 0.684605 0.384445 0.577041 13057.284440
13061.226790 0.680155 0.382732 0.574984 13061.261980
13065.347930 0.680902 0.383908 0.573017 13065.057190
13069.438820 0.680288 0.384425 0.570767 13069.444480
13073.563020 0.680895 0.385655 0.568465 13073.860610
13077.725320 0.680970 0.386468 0.566470 13077.715270
13081.830220 0.680225 0.386808 0.564496 13081.619830
13085.861070 0.679907 0.387557 0.562093 13086.196430
13090.030380 0.680745 0.388908 0.559846 13090.398950
13094.276960 0.680110 0.389275 0.557969 13094.231340
13098.373800 0.679970 0.390075 0.555710 13098.381360
13102.547910 0.680018 0.391010 0.553385 13103.033350
13106.607520 0.680885 0.392327 0.551296 13106.976250
13110.720730 0.680538 0.392877 0.549385 13110.746350
13114.859180 0.680623 0.393757 0.547273 13115.198970
13118.916090 0.680898 0.394838 0.544937 13119.581910
13123.145470 0.681545 0.395980 0.542999 13123.515040
13127.193480 0.681205 0.396568 0.541017 13127.397540
13131.292860 0.680075 0.396835 0.538683 13132.038070
13135.419910 0.680172 0.397763 0.536491 13136.238340
13139.634220 0.680192 0.398505 0.534656 13140.067290
13143.689300 0.680377 0.399390 0.532709 13144.046800
13147.775610 0.680280 0.400317 0.530246 13148.672370
13151.955260 0.680295 0.401102 0.528310 13152.777340
13156.232020 0.680517 0.402005 0.526389 13156.602610
13160.362330 0.680828 0.403030 0.524298 13160.940010
13164.579040 0.680782 0.403948 0.521958 13165.489800
13168.756710 0.680195 0.404475 0.519790 13169.406890
13172.906020 0.680560 0.405473 0.517863 13173.287970
13177.046080 0.680680 0.406473 0.515576 13177.876500
13181.149310 0.684785 0.409825 0.513375 13182.037820
13185.391950 0.685810 0.411180 0.511570 13185.875560
13189.515020 0.685298 0.411737 0.509467 13189.869660
13193.709240 0.685127 0.412595 0.507138 13194.557470
13197.933900 0.685993 0.413955 0.505109 13198.691340
13202.174610 0.685863 0.414658 0.503224 13202.524260
13206.407340 0.684922 0.415005 0.501015 13206.917980
13210.660980 0.685863 0.416592 0.498569 13211.506340
13214.906630 0.686102 0.417535 0.496659 13215.448720
13219.155130 0.686975 0.418978 0.494481 13219.407490
13223.300290 0.687455 0.420155 0.492373 13224.037810
13227.573750 0.686205 0.420337 0.490118 13228.322640
13231.881520 0.685682 0.420890 0.488043 13232.205830
13236.054370 0.685652 0.421725 0.486017 13236.310800
13240.273540 0.686340 0.423148 0.483652 13241.007560
13244.586320 0.685978 0.423755 0.481689 13245.131830
13248.915370 0.685623 0.424460 0.479509 13249.063060
13253.187960 0.686608 0.426042 0.477224 13253.648520
13257.491340 0.686535 0.426955 0.474979 13258.149420
13261.707790 0.685925 0.427337 0.473194 13262.070320
13265.900320 0.685652 0.428100 0.471014 13266.056270
13270.113850 0.686400 0.429530 0.468769 13270.801210
13274.275430 0.684105 0.428978 0.466707 13274.963510
13278.650340 0.685020 0.430365 0.464814 13278.888300
13282.873550 0.685875 0.431815 0.462698 13283.170120
13287.111760 0.685508 0.432590 0.460369 13287.909330
13291.363780 0.685908 0.433733 0.458315 13292.015210
13295.601540 0.685913 0.434520 0.456508 13295.852890
13299.766400 0.686155 0.435663 0.454236 13300.335640
13304.058660 0.685318 0.436103 0.452005 13304.871520
13308.346460 0.685965 0.437380 0.450024 13308.830060
13312.553930 0.686280 0.438455 0.448029 13312.812750
13316.821740 0.685845 0.439173 0.445759 13317.611980
13321.134080 0.685855 0.440128 0.443602 13321.905750
13325.521680 0.684415 0.440003 0.441784 13325.813590
13329.749090 0.684745 0.441115 0.439741 13330.112370
13333.928950 0.685385 0.442582 0.437354 13334.833240
13338.257780 0.685355 0.443472 0.435301 13338.993910
13342.589540 0.685377 0.444342 0.433374 13342.947580
13346.836880 0.685492 0.445373 0.431227 13347.552690
13351.119050 0.684240 0.445628 0.428825 13352.072570
13355.443520 0.685068 0.446962 0.427043 13356.082090
13359.682140 0.684800 0.447717 0.424964 13360.127990
13364.025970 0.685380 0.449142 0.422633 13365.037420
13368.353000 0.685848 0.450373 0.420580 13369.353540
13372.691600 0.686547 0.451707 0.418641 13373.246770
13376.979980 0.683955 0.450965 0.416502 13377.503000
13381.256390 0.684620 0.452475 0.414131 13382.283000
13385.617350 0.686210 0.454420 0.412162 13386.481240
13390.072950 0.687852 0.456483 0.410024 13390.528050
13394.416360 0.687658 0.457385 0.407765 13395.137210
13398.762710 0.688113 0.458688 0.405583 13399.745270
13403.028840 0.688435 0.459790 0.403651 13403.674380
13407.352460 0.689020 0.461112 0.401628 13407.743290
13411.644190 0.689518 0.462535 0.399270 13412.552740
13415.892760 0.688538 0.462800 0.397275 13416.761970
13420.359460 0.688368 0.463490 0.395538 13420.761530
13424.683550 0.688708 0.464740 0.393339 13425.097920
13429.057900 0.687385 0.465150 0.391135 13429.931390
13433.354160 0.688257 0.466927 0.388689 13434.083270
13437.793070 0.688052 0.467363 0.386760 13438.091380
13442.035220 0.687515 0.468035 0.384541 13442.652410
13446.432620 0.687015 0.468643 0.382516 13447.305970
13450.821770 0.687190 0.469685 0.380549 13451.355700
13455.123820 0.687360 0.470722 0.378589 13455.454640
13459.452520 0.687148 0.471647 0.376317 13460.339880
13463.804180 0.686843 0.472403 0.374274 13464.669580
13468.207680 0.686882 0.473338 0.372355 13468.643250
13472.454830 0.687475 0.474797 0.370137 13472.853600
13476.756250 0.687102 0.475600 0.367906 13477.656040
13481.076870 0.687210 0.476620 0.365920 13481.858650
13485.541200 0.687397 0.477665 0.364003 13485.863240
13489.945700 0.686447 0.478073 0.361767 13490.474350
13494.363280 0.686882 0.479478 0.359466 13495.254290
13498.759930 0.686425 0.480112 0.357477 13499.360590
13503.094020 0.686960 0.481413 0.355552 13503.376180
13507.437320 0.686255 0.482120 0.353056 13508.174070
13511.887050 0.686780 0.483465 0.351035 13512.695210
13516.429530 0.687418 0.484920 0.348958 13516.797330
13520.771670 0.687708 0.485998 0.347160 13521.012170
13525.164780 0.687255 0.486955 0.344534 13525.922450
13529.519100 0.686935 0.487712 0.342514 13530.101450
13534.067620 0.686935 0.488638 0.340619 13534.132540
13538.459600 0.686440 0.489362 0.338415 13538.696440
13542.890080 0.686610 0.490538 0.336265 13543.426770
13547.373090 0.686327 0.491358 0.334183 13547.557030
13551.788060 0.686638 0.492598 0.332114 13551.631570
13556.110700 0.686760 0.493780 0.329895 13556.372990
13560.511250 0.687392 0.495287 0.327767 13560.804080
13565.033160 0.687322 0.496195 0.325835 13564.827000
13569.449940 0.687867 0.497605 0.323790 13569.093400
13573.840410 0.687603 0.498590 0.321427 13573.998560
13578.289960 0.685770 0.498302 0.319335 13578.323190
13582.821680 0.686880 0.500132 0.317287 13582.407230
13587.274820 0.686945 0.501320 0.315010 13587.058590
13591.661990 0.687347 0.502765 0.312717 13591.849500
13596.141630 0.687063 0.503445 0.310951 13596.025750
13600.584670 0.687272 0.504630 0.308905 13600.203960
13605.016660 0.687350 0.505880 0.306544 13605.170730
13609.404240 0.687645 0.507203 0.304362 13609.668980
13613.929420 0.688043 0.508515 0.302356 13613.788040
13618.415390 0.687673 0.509247 0.300379 13618.175780
13622.930130 0.687330 0.510260 0.297894 13623.312660
13627.432560 0.688120 0.511915 0.295805 13627.742430
13632.019100 0.687780 0.512672 0.293832 13631.900160
13636.508500 0.687503 0.513672 0.291480 13636.626450
13640.989380 0.687845 0.515080 0.289241 13641.494560
13645.443700 0.688290 0.516467 0.287198 13645.707890
13649.988730 0.688172 0.517328 0.285363 13649.981740
13654.463370 0.688653 0.518930 0.282968 13655.001630
13658.921690 0.687952 0.519482 0.280887 13659.559830
13663.478660 0.687610 0.520175 0.279057 13663.692720
13667.925020 0.687990 0.521463 0.277137 13668.061250
13672.343340 0.687810 0.522508 0.274873 13673.088100
13676.914830 0.686810 0.522828 0.272806 13677.566450
13681.523190 0.686500 0.523495 0.271079 13681.725060
13685.929930 0.687702 0.525297 0.269392 13686.339900
13690.414880 0.687142 0.525805 0.267611 13691.208440
13694.875620 0.687477 0.526750 0.266303 13695.417280
13699.443330 0.687837 0.527523 0.265361 13699.591510
