# XDI/1.0 Athena/0.9.21
# Element.edge:                  L3
# Element.symbol:                Au
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Athena.e0:                     11920.08429
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.9178349
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.952595 - 0.00032483 * E
# Athena.normalization_range:    150.000 1676.466
# Athena.post_edge_polynomial:   13.110132 - 0.00131986 * E + 3.25230595e-008 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1776.434
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 21.593
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 19.593
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0
  11928.037        1.7872450        1.8121612        1.0780125        1.9941024       0.10205692E-01   0.63074377E-02    1.0000000
  11929.035        1.8006450        1.8318335        1.0776883        1.9935594       0.16489378E-01   0.44267884E-02    1.0000000
  11930.040        1.8202630        1.8487040        1.0773621        1.9930132       0.19069805E-01  -0.87616378E-04    1.0000000
  11931.029        1.8386700        1.8627659        1.0770405        1.9924749       0.16314671E-01  -0.37296534E-02    1.0000000
  11931.998        1.8522130        1.8743453        1.0767259        1.9919483       0.11765801E-01  -0.45412878E-02    1.0000000
  11933.017        1.8620590        1.8845077        1.0763948        1.9913941       0.72871362E-02  -0.45025059E-02    1.0000000
  11934.014        1.8669070        1.8927458        1.0760709        1.9908520       0.26868127E-02  -0.36550590E-02    1.0000000
  11935.011        1.8674150        1.8995991        1.0757473        1.9903104       0.99533685E-06  -0.12327224E-02    1.0000000
  11936.024        1.8669090        1.9054657        1.0754182        1.9897598       0.20981724E-03   0.14091529E-02    1.0000000
  11937.003        1.8678330        1.9103763        1.0751002        1.9892277       0.28083238E-02   0.30186025E-02    1.0000000
  11938.001        1.8724610        1.9149118        1.0747760        1.9886855       0.61775340E-02   0.23518433E-02    1.0000000
  11938.983        1.8800660        1.9191368        1.0744569        1.9881518       0.74655381E-02   0.91467047E-03    1.0000000
  11939.995        1.8873490        1.9232751        1.0741283        1.9876021       0.80015973E-02   0.27345238E-02    1.0000000
  11940.987        1.8960960        1.9271250        1.0738062        1.9870635       0.12943746E-01   0.76242060E-02    1.0000000
  11941.977        1.9130070        1.9307728        1.0734844        1.9865255       0.23114832E-01   0.89559597E-02    1.0000000
  11943.022        1.9431400        1.9344080        1.0731451        1.9859583       0.31171184E-01   0.48811782E-02    1.0000000
  11944.047        1.9775220        1.9377704        1.0728121        1.9854016       0.33217407E-01  -0.22681426E-02    1.0000000
  11945.046        2.0103810        1.9408556        1.0724875        1.9848592       0.26579851E-01  -0.10873853E-01    1.0000000
  11946.044        2.0306110        1.9437538        1.0721633        1.9843173       0.11498626E-01  -0.15650109E-01    1.0000000
  11947.036        2.0332620        1.9464545        1.0718412        1.9837790      -0.45621433E-02  -0.13024653E-01    1.0000000
  11948.098        2.0212420        1.9491546        1.0714962        1.9832027      -0.15249324E-01  -0.72902036E-02    1.0000000
  11949.099        2.0018060        1.9515215        1.0711711        1.9826596      -0.19600230E-01  -0.22755431E-02    1.0000000
  11950.102        1.9819700        1.9537252        1.0708453        1.9821154      -0.19808716E-01   0.16823034E-02    1.0000000
  11951.083        1.9624960        1.9557231        1.0705265        1.9815829      -0.16261732E-01   0.52443902E-02    1.0000000
  11952.085        1.9497090        1.9576052        1.0702009        1.9810392      -0.94045797E-02   0.63616863E-02    1.0000000
  11953.069        1.9438170        1.9593016        1.0698813        1.9805056      -0.36264053E-02   0.35444074E-02    1.0000000
  11954.099        1.9424060        1.9609216        1.0695468        1.9799470      -0.22667104E-02  -0.33986544E-03    1.0000000
  11955.113        1.9391850        1.9623647        1.0692175        1.9793974      -0.43209169E-02  -0.20209336E-02    1.0000000
  11956.106        1.9337350        1.9636379        1.0688949        1.9788589      -0.63222188E-02  -0.10346404E-02    1.0000000
  11957.096        1.9266500        1.9647716        1.0685735        1.9783225      -0.63722881E-02   0.13625754E-02    1.0000000
  11958.078        1.9211670        1.9657689        1.0682543        1.9777897      -0.36348250E-02   0.33590543E-02    1.0000000
  11959.093        1.9193910        1.9666677        1.0679248        1.9772400       0.33597848E-03   0.40873187E-02    1.0000000
  11960.093        1.9218440        1.9674293        1.0675997        1.9766976       0.46011631E-02   0.36393016E-02    1.0000000
  11961.108        1.9286640        1.9680788        1.0672701        1.9761478       0.76704814E-02   0.29135307E-02    1.0000000
  11962.102        1.9372530        1.9685997        1.0669472        1.9756092       0.10454068E-01   0.25930646E-02    1.0000000
  11963.105        1.9495460        1.9690139        1.0666213        1.9750657       0.12850128E-01   0.17813293E-02    1.0000000
  11964.126        1.9632650        1.9693249        1.0662896        1.9745126       0.14059941E-01   0.88467848E-03    1.0000000
  11965.114        1.9777920        1.9695240        1.0659687        1.9739775       0.14627420E-01   0.16869343E-03    1.0000000
  11966.106        1.9922270        1.9696275        1.0656465        1.9734403       0.14393951E-01  -0.11482533E-02    1.0000000
  11967.111        2.0065360        1.9696380        1.0653201        1.9728961       0.12334416E-01  -0.32791163E-02    1.0000000
  11968.151        2.0174420        1.9695536        1.0649824        1.9723334       0.76905190E-02  -0.50566531E-02    1.0000000
