 Au                                                               Feff 8.20
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=79 Rmt= 1.553 Rnm= 1.596 L3 shell
 Pot 1 Z=79 Rmt= 1.531 Rnm= 1.569
 Gam_ch=5.284E+00 H-L exch
 Mu=-5.117E-01 kf=1.860E+00 Vint=-1.369E+01 Rs_int= 1.950
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   15      icalc       2
 -----------------------------------------------------------------------
   2  24.000   6.4449    2.9659   -0.51171 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  79 Au       absorbing atom
     6.1142   -2.0380    0.0000  1  79 Au    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1967E+01  0.0000E+00 -1.0001E+01  1.089E+00  5.3901E+00  1.8689E+00
  0.100  1.1966E+01  5.9736E-02 -1.1259E+01  1.089E+00  5.3975E+00  1.8715E+00
  0.200  1.1962E+01  1.1896E-01 -1.2454E+01  1.088E+00  5.4192E+00  1.8791E+00
  0.300  1.1956E+01  1.7720E-01 -1.3588E+01  1.088E+00  5.4546E+00  1.8917E+00
  0.400  1.1948E+01  2.3399E-01 -1.4662E+01  1.087E+00  5.5026E+00  1.9093E+00
  0.500  1.1938E+01  2.8895E-01 -1.5676E+01  1.085E+00  5.5616E+00  1.9316E+00
  0.600  1.1926E+01  3.4176E-01 -1.6633E+01  1.084E+00  5.6296E+00  1.9587E+00
  0.700  1.1911E+01  3.9215E-01 -1.7534E+01  1.083E+00  5.7044E+00  1.9902E+00
  0.800  1.1895E+01  4.3989E-01 -1.8381E+01  1.081E+00  5.7834E+00  2.0261E+00
  0.900  1.1877E+01  4.8481E-01 -1.9176E+01  1.080E+00  5.8641E+00  2.0662E+00
  1.000  1.1857E+01  5.2675E-01 -1.9921E+01  1.079E+00  5.9437E+00  2.1104E+00
  1.100  1.1835E+01  5.6553E-01 -2.0616E+01  1.078E+00  6.0198E+00  2.1584E+00
  1.200  1.1812E+01  6.0097E-01 -2.1262E+01  1.077E+00  6.0900E+00  2.2102E+00
  1.300  1.1788E+01  6.3287E-01 -2.1862E+01  1.076E+00  6.1525E+00  2.2658E+00
  1.400  1.1762E+01  6.6097E-01 -2.2414E+01  1.075E+00  6.2060E+00  2.3249E+00
  1.500  1.1735E+01  6.8495E-01 -2.2919E+01  1.075E+00  6.2501E+00  2.3876E+00
  1.600  1.1706E+01  7.0446E-01 -2.3376E+01  1.076E+00  6.2852E+00  2.4539E+00
  1.700  1.1675E+01  7.1907E-01 -2.3784E+01  1.076E+00  6.3131E+00  2.5238E+00
  1.800  1.1642E+01  7.2837E-01 -2.4142E+01  1.077E+00  6.3364E+00  2.5973E+00
  1.900  1.1607E+01  7.3194E-01 -2.4446E+01  1.079E+00  6.3596E+00  2.6746E+00
  2.000  1.1570E+01  7.2944E-01 -2.4693E+01  1.081E+00  6.3885E+00  2.7558E+00
  2.200  1.1475E+01  6.8635E-01 -2.4912E+01  1.074E+00  6.5031E+00  2.9387E+00
  2.400  1.1359E+01  7.0862E-01 -2.5122E+01  1.184E+00  4.8911E+00  3.1268E+00
  2.600  1.1362E+01  7.2570E-01 -2.5816E+01  1.230E+00  4.3639E+00  3.2609E+00
  2.800  1.1365E+01  7.2507E-01 -2.6423E+01  1.256E+00  4.1304E+00  3.3966E+00
  3.000  1.1347E+01  7.0402E-01 -2.6881E+01  1.263E+00  4.0440E+00  3.5419E+00
  3.200  1.1316E+01  6.7972E-01 -2.7246E+01  1.262E+00  4.0392E+00  3.6933E+00
  3.400  1.1276E+01  6.5633E-01 -2.7549E+01  1.255E+00  4.0861E+00  3.8501E+00
  3.600  1.1225E+01  6.2694E-01 -2.7812E+01  1.243E+00  4.1694E+00  4.0119E+00
  3.800  1.1165E+01  5.9687E-01 -2.8052E+01  1.231E+00  4.2797E+00  4.1779E+00
  4.000  1.1098E+01  5.5285E-01 -2.8271E+01  1.213E+00  4.4112E+00  4.3478E+00
  4.200  1.1024E+01  5.0434E-01 -2.8477E+01  1.197E+00  4.5601E+00  4.5210E+00
  4.400  1.0946E+01  4.4717E-01 -2.8669E+01  1.181E+00  4.7234E+00  4.6972E+00
  4.600  1.0865E+01  3.8486E-01 -2.8853E+01  1.164E+00  4.8990E+00  4.8759E+00
  4.800  1.0781E+01  3.1757E-01 -2.9030E+01  1.149E+00  5.0855E+00  5.0568E+00
  5.000  1.0695E+01  2.4871E-01 -2.9222E+01  1.134E+00  5.2814E+00  5.2397E+00
  5.200  1.0609E+01  1.7657E-01 -2.9440E+01  1.121E+00  5.4860E+00  5.4243E+00
  5.400  1.0523E+01  1.0900E-01 -2.9782E+01  1.108E+00  5.6982E+00  5.6104E+00
  5.600  1.0436E+01  6.2238E-02 -3.0599E+01  1.096E+00  5.9175E+00  5.7979E+00
  5.800  1.0348E+01  8.2863E-02 -3.1708E+01  1.085E+00  6.1433E+00  5.9865E+00
  6.000  1.0261E+01  1.3946E-01 -3.2152E+01  1.073E+00  6.3751E+00  6.1761E+00
  6.500  1.0041E+01  2.7867E-01 -3.2534E+01  1.047E+00  6.9786E+00  6.6539E+00
  7.000  9.8222E+00  3.7522E-01 -3.2716E+01  1.023E+00  7.6123E+00  7.1360E+00
  7.500  9.6058E+00  4.2688E-01 -3.2833E+01  1.003E+00  8.2726E+00  7.6214E+00
  8.000  9.3918E+00  4.4353E-01 -3.2906E+01  9.846E-01  8.9567E+00  8.1093E+00
  8.500  9.1801E+00  4.3528E-01 -3.2932E+01  9.702E-01  9.6625E+00  8.5991E+00
  9.000  8.9719E+00  4.1291E-01 -3.2918E+01  9.580E-01  1.0388E+01  9.0904E+00
  9.500  8.7695E+00  3.8619E-01 -3.2867E+01  9.482E-01  1.1132E+01  9.5830E+00
 10.000  8.5741E+00  3.6431E-01 -3.2780E+01  9.410E-01  1.1894E+01  1.0077E+01
 11.000  8.2001E+00  3.5738E-01 -3.2548E+01  9.311E-01  1.3463E+01  1.1066E+01
 12.000  7.8482E+00  3.9141E-01 -3.2380E+01  9.247E-01  1.5091E+01  1.2058E+01
 13.000  7.5193E+00  4.4174E-01 -3.2320E+01  9.217E-01  1.6770E+01  1.3052E+01
 14.000  7.2088E+00  4.8323E-01 -3.2340E+01  9.198E-01  1.8497E+01  1.4046E+01
 15.000  6.9182E+00  5.1048E-01 -3.2406E+01  9.195E-01  2.0267E+01  1.5042E+01
 16.000  6.6437E+00  5.2042E-01 -3.2499E+01  9.194E-01  2.2076E+01  1.6038E+01
 17.000  6.3859E+00  5.1792E-01 -3.2608E+01  9.189E-01  2.3923E+01  1.7035E+01
 18.000  6.1408E+00  5.0550E-01 -3.2730E+01  9.179E-01  2.5805E+01  1.8032E+01
 19.000  5.9071E+00  4.8639E-01 -3.2860E+01  9.174E-01  2.7718E+01  1.9030E+01
 20.000  5.6838E+00  4.6235E-01 -3.2996E+01  9.175E-01  2.9662E+01  2.0028E+01
 21.000  5.4715E+00  4.3765E-01 -3.3136E+01  9.181E-01  3.1635E+01  2.1026E+01
 22.000  5.2688E+00  4.1183E-01 -3.3281E+01  9.191E-01  3.3634E+01  2.2025E+01
 23.000  5.0750E+00  3.8596E-01 -3.3427E+01  9.203E-01  3.5658E+01  2.3023E+01
 24.000  4.8906E+00  3.6217E-01 -3.3576E+01  9.217E-01  3.7706E+01  2.4022E+01
